date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-03-27,-0.0619593876194,34,0,-0.0930272770817,13,0,193900,206000,188700,202500,499114,27.5400009155,31.6499996185,27.5400009155,31.0499992371,0
2026-03-30,-0.0750768652263,25,0,-0.0376546056768,13,0,196500,206000,196300,203500,404454,30.7900009155,31.5200004578,29.3299999237,30.6100006104,0
2026-03-31,-0.0502361482974,22,0,0.0706648397338,21,0,205000,205500,192200,192200,603090,29.5300006866,29.6399993896,25.0799999237,25.25,0
2026-04-01,-0.0720248603524,17,0,-0.0372048956239,17,0,202000,204000,197500,202000,410700,24.2999992371,25.3500003815,23.5,24.5400009155,0
2026-04-02,-0.0157858584933,19,0,-0.0173794771836,6,0,202500,211000,193700,196900,728719,26.7800006866,27.8899993896,23.8700008392,23.8700008392,0
2026-04-03,-0.0733057010953,22,0,-0.181508030406,5,0,199500,200500,190000,192600,470485,,,,,
2026-04-06,-0.00581854888403,13,0,0.120088189761,8,0,192600,204000,192600,199900,579226,24.9300003052,25.2999992371,23.7800006866,24.1700000763,0
2026-04-07,0.027800975872,24,0,-0.0359998686475,12,0,199700,211000,198700,201500,542160,25.0900001526,28,24.3400001526,25.7800006866,0
2026-04-08,-0.0834832481523,14,0,-0.0470132573661,12,0,212500,214500,205000,208500,585119,20.9699993134,22.1700000763,19.9099998474,21.0400009155,0
2026-04-09,-0.00922654547146,29,0,-0.0908519661508,18,0,207500,209750,200000,206000,574238,21.25,21.6299991608,19.4500007629,19.4899997711,0
2026-04-10,0.0550123577321,22,0,0.0381634019637,22,0,207000,207000,201500,201500,267837,19.7099990845,20.2800006866,18.8299999237,19.2299995422,0
2026-04-13,0.0452591985324,11,0,-0.0311149706385,15,0,201500,204500,199000,199000,286581,21.1700000763,21.5799999237,18.9599990845,19.1200008392,0
2026-04-14,-0.158477938842,12,0,0.000799014853934,9,0,203500,204500,197700,197800,306781,18.7299995422,18.7600002289,17.8899993896,18.3600006104,0
2026-04-15,-0.0135298341396,15,0,-0.0609024669844,15,0,202000,206000,200000,202500,370153,18.1800003052,18.5,17.3999996185,18.1700000763,0
2026-04-16,-0.328961625904,3,0,0.0222501685024,10,0,207000,209500,203000,205000,351483,18.0400009155,19.0900001526,17.7600002289,17.9400005341,0
2026-04-17,0.0184822838833,16,0,0.244946117089,8,0,205500,211500,204000,208000,575204,18.1800003052,18.2399997711,16.8700008392,17.4799995422,0
2026-04-20,-0.0239785988101,28,0,0.0731558174785,23,0,208000,213000,204500,210000,468514,19.5799999237,19.9899997711,18.7700004578,18.8700008392,0
2026-04-21,-0.0242830347991,33,0,0.29481175637,10,0,214000,220500,211000,220500,962694,19.1800003052,20.8500003815,18.75,19.5,0
2026-04-22,0.053333475966,41,0,0.0632929154887,27,0,222500,222500,212500,218000,744134,19.0300006866,19.5400009155,18.6800003052,18.9200000763,0
2026-04-23,-0.0896877381929,20,0,0.129610166426,21,0,219000,219500,203500,205500,704169,19.4200000763,21.5599994659,18.7000007629,19.3099994659,0
2026-04-24,0.0346519466105,25,0,-0.0730691910521,12,0,207500,209500,204000,208000,388962,18.8899993896,19.3500003815,18.4599990845,18.7099990845,0
2026-04-27,-0.00368467834172,24,0,0.102737716463,18,0,208500,210500,205000,207500,345978,19.2099990845,19.2700004578,18.0200004578,18.0200004578,0
2026-04-28,0.234077279456,19,0,-0.107755114023,9,0,211000,216000,209000,213500,500672,18.2999992371,19.4300003052,17.7800006866,17.8299999237,0
2026-04-29,-0.110779538802,46,0,-0.00257895172529,14,0,211000,219000,207500,212500,589037,17.8299999237,19,17.8099994659,18.8099994659,0
2026-04-30,-0.139324141535,30,0,0.0230730647609,27,0,214000,214000,206000,206000,496622,18.6800003052,18.7299995422,16.8700008392,16.8899993896,0
2026-05-04,-0.0915328040701,12,0,0.058670644965,27,0,211500,218000,210000,215500,597043,17.3799991608,19.0799999237,17.1499996185,18.2900009155,0
2026-05-06,-0.0681092376003,25,0,0.126929571005,11,0,218000,229500,214000,228500,974039,17.1499996185,17.4599990845,16.1800003052,17.3899993896,0
2026-05-07,-0.0383152678816,37,0,0.00317583066283,27,0,229500,243500,225500,235500,1140239,17.5300006866,17.6000003815,16.8500003815,17.0799999237,0
2026-05-08,0.0731090500486,27,0,-0.0257562129966,22,0,235500,243500,228000,237500,629179,17.3700008392,17.5300006866,16.8199996948,17.1900005341,0
2026-05-11,-0.0248520900767,35,0,0.0386844189894,29,0,236500,236500,218500,222000,829855,18.2099990845,18.4699993134,17.8999996185,18.3799991608,0
2026-05-12,-0.0735752917335,50,0,-0.0459783246808,22,0,223500,227000,203000,205500,992424,18.7700004578,19.1000003815,17.9200000763,17.9899997711,0
2026-05-13,-0.0340165549837,35,0,0.0164911228076,20,0,203000,205000,194700,197100,666130,17.9799995422,18.3999996185,17.7600002289,17.8700008392,0
2026-05-14,-0.0113599260758,16,0,0.0330997573468,32,0,205500,209000,195100,209000,807776,17.8600006104,18.0799999237,17.2000007629,17.2600002289,0
2026-05-15,0.00385004707095,20,0,-0.0733551608037,28,0,208000,215500,188200,190500,825029,18.0699996948,19.2700004578,17.7999992371,18.4300003052,0
2026-05-18,0.0189322132419,21,0,-0.0156953991578,35,0,191000,194500,184100,190400,577686,19.25,19.4400005341,17.7000007629,17.8199996948,0
2026-05-19,-0.103211490771,32,0,-0.0388842697197,27,0,192000,196600,181500,182400,580567,18.0100002289,18.3600006104,17.6599998474,18.0599994659,0
2026-05-20,-0.0856925164638,40,0,-0.0226116892596,27,0,181000,182800,174900,176700,557955,18.1700000763,18.1800003052,17.1299991608,17.4400005341,0
2026-05-21,-0.0103212093478,6,0,-0.00372979564626,14,0,183700,199400,182100,195000,560937,17.5799999237,17.8700008392,16.6000003815,16.7600002289,0
2026-05-22,0.00244974554684,26,0,0.115599463044,17,0,200000,219750,200000,216000,1141061,16.8299999237,17.3899993896,16.4599990845,16.7000007629,0
2026-05-26,-0.0222769365141,32,0,0.0190979693727,26,0,225000,235500,218000,220000,920419,16.9200000763,17.2299995422,16.5599994659,17.0100002289,0
2026-05-27,-0.06621129231,22,0,0.119175933158,23,0,218000,227500,213000,213500,659252,17.0100002289,17.1800003052,16.2900009155,16.2900009155,0
2026-05-28,-0.115847975727,19,0,0.0267541641642,24,0,222500,223000,206500,218500,771344,16.7600002289,16.8500003815,15.6099996567,15.7399997711,0
2026-05-29,0.00793938232285,21,0,0.0380203654663,13,0,217500,217500,210000,217000,1318811,15.8100004196,15.8800001144,15.220000267,15.3199996948,0
2026-06-01,-0.136692020487,27,0,-0.0371174879973,18,0,215000,215000,205000,207000,662016,15.8800001144,16.3400001526,15.7100000381,16.0499992371,0
2026-06-02,-0.0115011844317,26,0,-0.0227447788785,26,0,203500,218000,197900,198000,867237,16.2800006866,16.2900009155,15.7100000381,15.7700004578,0
2026-06-04,-0.0529342922665,22,0,-0.00921706436693,20,0,201500,209000,196200,197400,656199,16.3299999237,16.7999992371,15.1800003052,15.3999996185,0
2026-06-05,-0.0171133388096,26,0,-0.27808316905,18,0,197500,198000,180100,180100,772457,15.8699998856,21.5699996948,15.5600004196,21.5100002289,0
2026-06-08,-0.0381528335474,28,0,-0.113795117056,42,0,170000,171400,158500,159700,651414,20.2900009155,20.3500003815,17.9400005341,18.9200000763,0
2026-06-09,-0.0297885841061,29,0,-0.0296924918264,22,0,161900,171800,160500,167600,663769,18.1900005341,23.3400001526,17.5200004578,19.8700008392,0
2026-06-10,-0.0727817963658,6,0,-0.0555877960728,23,0,166000,172700,161000,164500,536210,20.1000003815,22.6599998474,20.0599994659,22.2199993134,0
2026-06-11,0.0162490731756,27,0,-0.215015349204,8,0,159900,164300,155500,164300,898577,21.25,22.5900001526,19.3600006104,19.4400005341,0
2026-06-12,0.0783454023056,9,0,-0.0477622936584,23,0,172200,178600,168100,170000,642248,19.5100002289,19.8500003815,17.5900001526,17.6800003052,0
2026-06-15,-0.0361648910022,24,0,-0.0457121775211,20,0,178400,186500,176900,186500,510682,16.7800006866,16.8500003815,15.9799995422,16.2000007629,0
2026-06-16,-0.120704955348,18,0,-0.090782784268,24,0,185900,186400,179100,179500,472518,16.2000007629,16.4400005341,15.7700004578,16.4099998474,0
2026-06-17,-0.0633817138855,11,0,-0.0444255906122,25,0,182600,183100,177000,180000,361009,16.0799999237,18.8400001526,16.0200004578,18.4400005341,0
2026-06-18,-0.0282438638609,23,0,0.00011413435361,13,0,178300,179400,170200,172300,516097,17.2299995422,17.6000003815,16.3500003815,16.3999996185,0
2026-06-19,-0.044488103193,34,0,-0.0626595529763,22,0,171400,175600,164700,169400,905391,,,,,
2026-06-22,-0.0870834355371,38,0,-0.149261534053,27,0,169400,171500,162600,166700,480379,17.4799995422,17.9200000763,16.4899997711,17.2800006866,0
2026-06-23,-0.0908973248512,19,0,-0.0361472742716,22,0,165400,170800,150400,150900,683987,19.6700000763,20.5400009155,18.6100006104,19.4899997711,0
2026-06-24,-0.146412102502,23,0,-0.10002255107,28,0,150200,156500,146000,152500,521863,19.1299991608,20.3400001526,18.0400009155,18.6299991608,0
2026-06-25,-0.0227481757631,20,0,-0.156296225896,11,0,152200,156200,142900,144000,536834,18.1100006104,19.9500007629,17.7199993134,18.8899993896,0
2026-06-26,-0.0946731381926,26,0,-0.144224326599,21,0,142300,143900,129600,133700,797620,19.7000007629,20.7199993134,18.2000007629,18.4099998474,0
2026-06-29,-0.00824370402947,35,0,-0.113544199507,37,0,133000,156500,132400,154500,952726,18.6000003815,19.4500007629,17.4899997711,17.6499996185,0
2026-06-30,-0.0798144074893,30,0,-0.0871703852279,17,0,154600,154600,142500,142500,984155,17.5400009155,17.75,16.2700004578,16.4500007629,0
