date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-02-19,-0.0126245118476,28,0,0.212040734677,3,0,58200,58300,57400,57600,1988817,19.3400001526,21.1100006104,19.2299995422,20.2299995422,0
2026-02-20,0.0133552771418,34,0,0.067366187374,13,0,57800,58900,57700,57900,1950669,20.0400009155,21.2099990845,18.7600002289,19.0900001526,0
2026-02-23,-0.00748204364667,23,0,-0.0823991750796,28,0,58600,58600,57800,58100,1657993,20.4899997711,22.0400009155,19.5,21.0100002289,0
2026-02-24,-0.139583027164,25,0,-0.0550373697092,19,0,58100,58400,57700,57900,1803888,21.2399997711,22.0799999237,19.2299995422,19.5499992371,0
2026-02-25,-0.0801888003862,22,0,-0.000588394464285,15,0,58000,58000,57200,57400,2078203,19.5900001526,19.6200008392,17.8600006104,17.9300003052,0
2026-02-26,0.0195629601194,40,0,-0.00483897134742,31,0,58700,62300,58600,61400,9617787,18.0699996948,20.5400009155,17.5,18.6299991608,0
2026-02-27,-0.018652628901,26,0,-0.0614430025138,25,0,61300,64500,60500,62300,7242478,19.2800006866,21.7399997711,18.7700004578,19.8600006104,0
2026-03-03,-0.0521716654723,30,0,0.0543357599014,49,0,60900,61400,56100,56200,6691339,24.5699996948,28.1499996185,22.1800003052,23.5699996948,0
2026-03-04,-0.0823480635376,17,0,-0.0462672962738,33,0,53200,54300,47050,47050,6214956,24.3899993896,24.8700008392,20.3999996185,21.1499996185,0
2026-03-05,-0.0942057136413,29,0,0.00110204992091,23,0,51200,52400,50300,51200,3724178,22.1100006104,25.8400001526,20.5499992371,23.75,0
2026-03-06,0.011379467376,24,0,-0.119908228561,23,0,50500,54400,50500,53600,2823937,23.2000007629,29.9300003052,22.9200000763,29.4899997711,0
2026-03-09,-0.00762640268546,26,0,-0.0276190698274,33,0,50100,50500,48800,50400,2045023,35.1199989319,35.2999992371,24.7600002289,25.5,0
2026-03-10,-0.0148347738029,17,0,-0.00600659317824,30,0,51800,52500,50900,51800,1860754,24.3899993896,26.0100002289,22.1900005341,24.9300003052,0
2026-03-11,-0.0967154661457,32,0,-0.0123279286694,19,0,52500,53200,50600,50900,1975641,24.8999996185,26.2299995422,23.75,24.2299995422,0
