date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-05-14,-0.0430573615563,0.188213329441,15,0,0.162514211509,0.286324200787,37,0,1976000,1994000,1937000,1970000,6040068,17.86,18.08,17.2,17.26,0
2026-05-15,-0.0425564899138,0.153259161196,29,0,0.152781960896,0.283612883814,28,0,1950000,1995000,1789000,1819000,7485233,18.07,19.27,17.8,18.43,0
2026-05-18,-0.00272367871277,0.252068469462,40,0,0.0603403079528,0.270727418672,203,0,1780000,1897000,1731000,1840000,6481608,19.25,19.44,17.7,17.82,0
2026-05-19,-0.158029045798,-0.0188578881369,26,0,0.0125746339097,0.173106201581,62,0,1791000,1823000,1740000,1745000,4575855,18.01,18.36,17.66,18.06,0
2026-05-20,-0.200950040229,0.0963860681473,24,0,-0.0730346156327,0.0962068829932,51,0,1743000,1778000,1690000,1745000,5535123,18.17,18.18,17.13,17.44,0
2026-05-21,-0.00456313629327,0.287030546605,52,0,0.230964788105,0.254574008295,48,0,1801000,1954000,1796000,1940000,5096690,17.58,17.87,16.6,16.76,0
2026-05-22,-0.0136721291373,0.120560254078,52,0,0.159236433611,0.288433724207,28,0,1942000,1952000,1912000,1941000,3135190,16.83,17.39,16.46,16.7,0
2026-05-26,-0.0486097498727,0.331596546227,22,0,0.0766637381235,0.250547156938,205,0,2008000,2087000,2006000,2052000,4903591,16.92,17.23,16.56,17.01,0
2026-05-27,-0.0231153771207,0.260778573185,34,0,0.200206135341,0.3164221797,70,0,2279000,2358000,2200000,2243000,7545783,17.01,17.18,16.29,16.29,0
2026-05-28,-0.0261817191593,0.0978866155147,46,0,0.0310951647091,0.16275174357,75,0,2189000,2305000,2151000,2289000,6229499,16.76,16.85,15.61,15.74,0
2026-05-29,0.0332314577339,0.11913047072,28,0,0.130640248651,0.336862832091,55,0,2352000,2379000,2290500,2333000,8518013,15.81,15.88,15.22,15.32,0
2026-06-01,-0.0288106725286,0.270766908826,36,0,0.139328679996,0.304068221504,233,0,2299000,2398000,2296000,2363000,5602897,15.88,16.34,15.71,16.05,0
2026-06-02,0.104939771333,0.256869371172,9,0,0.138174757862,0.368101090463,58,0,2376000,2407000,2259000,2360000,5837216,16.28,16.29,15.71,15.77,0
2026-06-04,-0.0362188228304,0.279632043349,24,0,0.0957638768535,0.257711700979,106,0,2284000,2327000,2262000,2298000,3941067,16.33,16.8,15.18,15.4,0
2026-06-05,-0.0276679465083,0.139799149454,33,0,-0.0341449766579,0.225853204084,48,0,2142000,2188000,2070000,2070000,5778751,15.87,21.57,15.56,21.51,0
2026-06-08,0.0956470899433,0.225772118988,12,0,-0.0811720643203,0.114080211307,193,0,1856000,2072000,1855000,1911000,6610833,20.29,20.35,17.94,18.92,0
2026-06-09,0.0209348059023,0.179684300133,26,0,0.158866572049,0.308592482328,68,0,2050000,2226000,1998000,2215000,5878039,18.19,23.34,17.52,19.87,0
2026-06-10,0.000759747553243,0.225209319408,37,0,-0.0217164590905,0.133039557842,61,0,2137000,2180000,1992000,2048000,4928269,20.1,22.66,20.06,22.22,0
2026-06-11,-0.0286655259293,0.128941341817,43,0,0.0629941187619,0.233425162827,57,0,1975000,2163000,1960000,2101000,6625775,21.25,22.59,19.36,19.44,0
2026-06-12,-0.0495018375769,0.215940858358,32,0,0.14235250293,0.162974264163,40,0,2281000,2304000,2150000,2150000,5286416,19.51,19.85,17.59,17.68,0
2026-06-15,-0.0184265249795,0.304937606882,37,0,0.0519565263679,0.239271411628,218,0,2283000,2322000,2265000,2288000,3872910,16.78,16.85,15.98,16.2,0
2026-06-16,0.056374665675,0.281248527293,20,0,0.0784219526943,0.279828772231,54,0,2381000,2400000,2286000,2382000,3644469,16.2,16.44,15.77,16.41,0
2026-06-17,0.0759254733876,0.314291664164,29,0,0.0812191308432,0.235121978779,50,0,2335000,2523000,2334000,2521000,3980010,16.08,18.84,16.02,18.44,0
2026-06-18,0.0999646768364,0.222655705508,22,0,0.149125582839,0.252509059372,78,0,2556000,2738000,2556000,2685000,5808765,17.23,17.6,16.35,16.4,0
2026-06-19,0.119005517268,0.335449094169,41,0,0.116328728558,0.267477844076,60,0,2824000,2891000,2688000,2764000,7478195,,,,,
2026-06-22,0.01890656489,0.174766702033,23,0,0.0954705248795,0.241514647699,163,0,2728000,2945000,2728000,2919000,5179795,17.48,17.92,16.49,17.28,0
