date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-05-14,-0.0836298542044,0.135158203559,36,0,-0.033483495625,0.08888897605,8,0,43000,45950,43000,45950,3640858,17.86,18.08,17.2,17.26,0
2026-05-15,-0.193195105695,0.165909471952,51,0,-0.0957151913333,0.278777706355,24,0,46400,46400,43300,44000,2235112,18.07,19.27,17.8,18.43,0
2026-05-18,-0.445427744993,-0.188179163612,43,0,-0.228139172905,0.00213499100186,37,0,43750,43750,41600,42450,1876958,19.25,19.44,17.7,17.82,0
2026-05-19,-0.229155037567,-0.0482617441679,33,0,-0.351386890864,-0.139640674186,22,0,42350,43350,40950,41600,1545131,18.01,18.36,17.66,18.06,0
2026-05-20,-0.344230818289,0.0262984189926,37,0,-0.315315078318,0.00367332484,33,0,41850,42400,39800,40150,2019858,18.17,18.18,17.13,17.44,0
2026-05-21,-0.195198544612,0.0896824951948,40,0,-0.44614935891,-0.131996791582,40,0,40550,42100,40500,41800,1732522,17.58,17.87,16.6,16.76,0
2026-05-22,-0.258684309528,-0.031942001783,47,0,-0.309957687512,-0.0748564433,38,0,42000,42600,41450,41850,1413790,16.83,17.39,16.46,16.7,0
2026-05-26,-0.328011048767,0.00610191916467,15,0,-0.056858739797,-0.0187448949274,40,0,42300,42350,40950,41450,1507976,16.92,17.23,16.56,17.01,0
2026-05-27,-0.205311678793,0.0996788841039,28,0,-0.409983415868,-0.0645958694412,17,0,41000,41350,40150,40500,1652378,17.01,17.18,16.29,16.29,0
2026-05-28,-0.155522622341,0.14075207076,22,0,-0.28893442765,-0.04364464115,40,0,40300,41300,38500,40100,2571868,16.76,16.85,15.61,15.74,0
2026-05-29,-0.399449621212,-0.02301754809,16,0,-0.352938884041,-0.0586711695872,36,0,40450,44000,40450,41950,7448112,15.81,15.88,15.22,15.32,0
2026-06-01,-0.305754429123,0.0482753036562,16,0,-0.123047875178,0.215025325914,42,0,43000,48500,41300,42700,11795777,15.88,16.34,15.71,16.05,0
