date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-05-14,0.085946132275,0.540534788843,16,0,0.120817378,0.616941055575,8,0,205500,209000,195100,209000,807776,17.86,18.08,17.2,17.26,0
2026-05-15,-0.0548719672651,0.161727667373,20,0,-0.0681738216295,0.263693112548,28,0,208000,215500,188200,190500,825029,18.07,19.27,17.8,18.43,0
2026-05-18,0.0221599284529,0.388647668018,21,0,-0.105007358011,0.102883277228,35,0,191000,194500,184100,190400,577686,19.25,19.44,17.7,17.82,0
2026-05-19,-0.137591142763,0.0668377892969,32,0,-0.093470438987,0.190153855426,27,0,192000,196600,181500,182400,580567,18.01,18.36,17.66,18.06,0
2026-05-20,-0.158469942422,0.177520622352,40,0,-0.231042326426,0.0108031977325,27,0,181000,182800,174900,176700,557955,18.17,18.18,17.13,17.44,0
2026-05-21,0.26181598104,0.189102207287,6,0,0.175870425,0.254159692857,14,0,183700,199400,182100,195000,560937,17.58,17.87,16.6,16.76,0
2026-05-22,-0.0176798912169,0.376431766125,26,0,0.431882976647,0.482266372788,17,0,200000,219750,200000,216000,1141061,16.83,17.39,16.46,16.7,0
2026-05-26,-0.02725287153,0.301569664193,32,0,0.185319623781,0.383637642239,26,0,225000,235500,218000,220000,920419,16.92,17.23,16.56,17.01,0
2026-05-27,-0.0759566463923,0.32757488409,22,0,0.0379237695652,0.287916349487,23,0,218000,227500,213000,213500,659252,17.01,17.18,16.29,16.29,0
2026-05-28,-0.163859836221,0.0229145067347,19,0,-0.198158896767,0.0841196740375,24,0,222500,223000,206500,218500,771344,16.76,16.85,15.61,15.74,0
2026-05-29,0.0179523636905,0.220223323667,21,0,0.0759951312215,0.363182392928,13,0,217500,217500,210000,217000,1318811,15.81,15.88,15.22,15.32,0
