date,intraday_sentiment_index,overnight_sentiment_index,open,high,low,close,volume
2026-05-18,0,-0.117762969894,43750,43750,41600,42450,1876958
2026-05-19,0,0.999329014157,42350,43350,40950,41600,1545131
2026-05-20,0,0.00171819831303,41850,42400,39800,40150,2019858
2026-05-21,0,0.999800969556,40550,42100,40500,41800,1732522
2026-05-22,0,-0.415259104338,42000,42600,41450,41850,1413790
2026-05-26,0,0.998693984438,42300,42350,40950,41450,1507976
2026-05-27,0,-0.998833480699,41000,41350,40150,40500,1652378
2026-05-28,0,0.0716598734725,40300,41300,38500,40100,2571868
2026-05-29,0,0,40450,44000,40450,41950,7448112
2026-06-01,0,0.00218741130084,43000,48500,41300,42700,11795777
2026-06-02,0,0,43300,43300,41100,42550,3434966
2026-06-04,0,0,41850,42750,41350,42000,2029148
2026-06-05,0,0,41250,41500,39800,40250,1968515
2026-06-08,0,0,37850,39800,37750,38600,2625755
2026-06-09,0,0,38850,40100,38700,39500,2013579
2026-06-10,0,-0.499865929103,38700,39100,37400,38150,2127595
2026-06-11,0,0.999804987074,37150,39700,36500,39300,2013343
2026-06-12,0,0,41350,43000,40300,41500,4079208
2026-06-15,0,0,41600,41700,40550,40750,1908601
2026-06-16,0,2.27374839596e-05,41100,41400,40450,40450,1427296
2026-06-17,0,0.999501888373,40500,41250,39600,40550,1138416
2026-06-18,0,0.000433519471699,40200,40200,39250,39300,1196377
2026-06-19,0,0.997639287554,39300,39700,37500,37750,2414692
2026-06-22,0,0.499687955299,38250,38500,36800,36800,1352403
2026-06-23,-0.0988818407027,-0.0767952606766,36550,37100,34250,34250,1929040
2026-06-24,-0.0930612892126,-0.0756873289247,34100,34600,33500,34000,1655613
2026-06-25,-0.0169666638166,-0.070634374541,34450,35800,34200,34250,1678291
2026-06-26,-0.0926216537968,-0.0833553216607,34550,34600,32250,33150,1776988
2026-06-29,-0.0395932929193,-0.133246911381,33050,36300,32600,35850,1802862
2026-06-30,-0.0353960264047,0.00795448604417,35800,35900,34550,34550,1238767
2026-07-01,-0.0594159056243,-0.0571474963566,35350,36100,34400,34800,1541412
2026-07-02,-0.035846934182,0.0402691284476,34800,36350,33800,35250,2227923
2026-07-03,-0.088344071584,-0.0303799485861,35950,36250,33850,35500,1867705
2026-07-06,0.0106272811916,-0.126633694096,35500,36300,34850,35600,1289188
2026-07-07,-0.0162907242884,-0.0302831953464,35600,35950,34400,35400,1704255
2026-07-08,0.0353132191164,-0.0940808214101,35450,35950,33400,34650,2205415
2026-07-09,-0.0314460150003,-0.211008326215,34700,35100,33400,33650,1897906
2026-07-10,0.0443954750185,-0.15990959037,34150,36350,34150,35350,2167200
2026-07-13,-0.0533913960021,-0.058617257278,35400,36100,34450,34750,1677515
2026-07-14,0.0486531496962,-0.0143365916489,35050,35050,33700,33850,2147915
2026-07-15,0.0719309439156,-0.0306788335212,34600,35950,34550,34900,1890167
2026-07-16,0.0363899890036,-0.0267889593927,34700,36450,34150,35900,2680070
2026-07-20,-0.0871532544736,0.0217529406675,35600,36200,34350,35050,1867585
2026-07-21,-0.130823330556,0.0184219740039,34900,35900,34250,35300,1324450
2026-07-22,-0.0770951685516,-0.0911713958442,35750,36650,35400,35500,1749428
2026-07-23,0.0774927048404,-0.0450152232009,36100,37175,35550,37150,2251715
2026-07-24,-0.0380424935951,-0.0906883735316,36450,36800,35500,36200,1679130
2026-07-27,-0.0575676269766,-0.031809454178,36950,37500,35850,37050,1800149
2026-07-28,0.14384799388,0.00475239426036,36400,37100,35250,35650,2003037
2026-07-29,0.00551283811521,0.0839012165613,36200,37900,34650,35300,4912823
2026-07-30,-0.0119426351859,0.0206404145353,35000,37050,34750,36150,2599309
2026-07-31,-0.0565783087409,-0.100648696081,37050,37600,35750,37400,3029760
2026-08-03,0.0182335674492,-0.0243424802232,36650,37500,35900,37200,1702786
2026-08-04,0.0147967994089,0.0730019384224,37600,38000,36700,37900,2281800
2026-08-05,-0.0489140285198,0.0484744041154,38100,39350,38000,38150,2573345
2026-08-06,0.0891813203054,0.0141164774459,38350,38400,36750,38300,2375197
2026-08-07,-0.0113017180124,0.10894174416,38300,40600,37800,39900,3984335
2026-08-10,-0.0190926345724,0.0182873802428,39850,39850,38500,39550,1963362
2026-08-11,-0.00224383239619,-0.0212774567592,39450,41000,39200,40700,2642980
2026-08-12,-0.03839280855,0.0800478947917,40700,41450,39500,39550,2365015
2026-08-13,-0.0435434671265,-0.0588388520528,39800,40400,39150,40100,2622180
2026-08-14,0,-0.0116244523531,,,,,
