date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume,kospi_ret,kosdaq_ret,vkospi_change,log_ret,realized_vol,parkinson_vol,realized_vol_lag1,realized_vol_lag2,realized_vol_lag3,log_ret_lag1,vkospi_change_lag1,intraday_current,intraday_future,overnight_current,overnight_future,target_vol_pk
2026-05-28,0.0316015206,0.199211427772,25,0,0.162465019848,0.246229044177,47,0,305000,306500,287500,299500,30195334,16.76,16.85,15.61,15.74,0.0,-0.005289402663164082,-0.02571773343645566,0.011518599049282475,-0.024733330031693125,0.04385483077751088,0.03843285129961253,0.03897404643601725,0.042844208881030924,0.04432241438267118,0.02640417419651071,0.03874611542244207,0.0316015206,0.199211427772,0.0931452395805,0.319114016096,0.025969061725011545
2026-05-29,-0.0429136329944,0.276912266785,18,0,0.0931452395805,0.319114016096,42,0,309500,319000,305500,317000,37241537,15.81,15.88,15.22,15.32,0.0,0.034917696415062364,-0.027131383897429653,0.03647737478233428,0.05678735632177656,0.035111052950880337,0.025969061725011545,0.04385483077751088,0.03897404643601725,0.042844208881030924,-0.024733330031693125,0.011518599049282475,-0.0429136329944,0.276912266785,0.158357234745,0.285409057452,0.06242898109112923
2026-06-01,-0.0737611228615,0.349453947308,13,0,0.158357234745,0.285409057452,186,0,319500,354500,319500,349000,45052488,15.88,16.34,15.71,16.05,0.0,0.036174057094032125,-0.023315862569351184,-0.0005387931164825781,0.09617014832514659,0.04479806663155753,0.06242898109112923,0.035111052950880337,0.04385483077751088,0.03897404643601725,0.05678735632177656,0.03647737478233428,-0.0737611228615,0.349453947308,0.126039325107,0.212936633352,0.04725952359223655
2026-06-02,0.0107278095104,0.298961685036,47,0,0.126039325107,0.212936633352,63,0,360500,370000,342000,360500,44720282,16.28,16.29,15.71,15.77,0.0,0.0014906309628797592,-0.023121749102661956,-0.008388629897621028,0.03242003452257665,0.04426075686542808,0.04725952359223655,0.04479806663155753,0.035111052950880337,0.04385483077751088,0.09617014832514659,-0.0005387931164825781,0.0107278095104,0.298961685036,0.112822974092,0.26265830081,0.03028681419274464
2026-06-08,-0.150864433531,0.0520583795594,35,0,-0.0392009840459,0.161953641422,239,0,293000,315500,292500,295500,38929682,20.29,20.35,17.94,18.92,0.0,-0.086494279834287,-0.09522140037675428,0.04251989867007792,-0.10738891391921904,0.08040658496595364,0.045458888999546414,0.06475871321046898,0.052704167801635546,0.04426075686542808,-0.06615196048534769,0.0,-0.150864433531,0.0520583795594,0.0930206015722,0.267482366771,0.0462198155560698
2026-06-09,0.0175685416531,0.296651231098,32,0,0.0930206015722,0.267482366771,58,0,310000,324000,300000,322000,30124249,18.19,23.34,17.52,19.87,0.0,0.07866278703988659,0.06006488038040641,0.17439514537507006,0.0858827086982555,0.07693803468602352,0.0462198155560698,0.08040658496595364,0.06475871321046898,0.052704167801635546,-0.10738891391921904,0.04251989867007792,0.0175685416531,0.296651231098,-0.031577725998,0.175352187048,0.037932419217037945
2026-06-10,0.00045534823,0.242472295664,20,0,-0.031577725998,0.175352187048,49,0,311000,314500,295250,302500,27050362,20.1,22.66,20.06,22.22,0.0,-0.04627004030917237,-0.016859483236135127,-0.032077591591677716,-0.062470268073512185,0.07360748163786547,0.037932419217037945,0.07693803468602352,0.08040658496595364,0.06475871321046898,0.0858827086982555,0.17439514537507006,0.00045534823,0.242472295664,0.117845265257,0.27772936456,0.03843285129961253
2026-06-11,-0.313033557729,-0.144182746311,13,0,0.117845265257,0.27772936456,44,0,290500,306500,287500,299000,31420307,21.25,22.59,19.36,19.44,0.0,0.004276288126426035,0.046504253081989445,-0.011955735920148884,-0.011637704080209709,0.07431119404228176,0.03843285129961253,0.07360748163786547,0.07693803468602352,0.08040658496595364,-0.062470268073512185,-0.032077591591677716,-0.313033557729,-0.144182746311,0.214279127522,0.280064292962,0.03463983672282655
2026-06-12,-0.00626422123056,0.311560670168,36,0,0.214279127522,0.280064292962,37,0,326000,339000,320000,322500,31006148,19.51,19.85,17.59,17.68,0.0,0.04528464232982864,0.03171076865340829,0.02945870715112491,0.0756595628451408,0.08454425048051334,0.03463983672282655,0.07431119404228176,0.07360748163786547,0.07693803468602352,-0.011637704080209709,-0.011955735920148884,-0.00626422123056,0.311560670168,0.0679917656819,0.288270016772,0.01858922950049579
2026-06-15,0.00208185259333,0.22289465897,30,0,0.0679917656819,0.288270016772,170,0,342500,344500,334000,337000,21500067,16.78,16.85,15.98,16.2,0.0,0.050685129306478435,0.004827742668672616,-0.023178355363575414,0.04397979411653445,0.062486936932496656,0.01858922950049579,0.08454425048051334,0.07431119404228176,0.07360748163786547,0.0756595628451408,0.02945870715112491,0.00208185259333,0.22289465897,0.127641380741,0.21519947815,0.023033193617464167
