date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume,kospi_ret,kosdaq_ret,vkospi_change,log_ret,realized_vol,parkinson_vol,realized_vol_lag1,realized_vol_lag2,realized_vol_lag3,log_ret_lag1,vkospi_change_lag1,intraday_current,intraday_future,overnight_current,overnight_future,target_vol_pk
2026-05-28,-0.155522622341,0.14075207076,22,0,-0.28893442765,-0.04364464115,40,0,40300,41300,38500,40100,2571868,16.76,16.85,15.61,15.74,0.0,-0.005289402663164082,-0.02571773343645566,0.011518599049282475,-0.00992563979996993,0.024245851886602124,0.04216195414233966,0.02901843396174389,0.028591002588786527,0.031919361375482305,-0.02318590746881049,0.03874611542244207,-0.155522622341,0.14075207076,-0.352938884041,-0.0586711695872,0.05052100444004774
2026-05-29,-0.399449621212,-0.02301754809,16,0,-0.352938884041,-0.0586711695872,36,0,40450,44000,40450,41950,7448112,15.81,15.88,15.22,15.32,0.0,0.034917696415062364,-0.027131383897429653,0.03647737478233428,0.04510209860069175,0.02627452168315441,0.05052100444004774,0.024245851886602124,0.02901843396174389,0.028591002588786527,-0.00992563979996993,0.011518599049282475,-0.399449621212,-0.02301754809,-0.123047875178,0.215025325914,0.09651096506029162
2026-06-01,-0.305754429123,0.0482753036562,16,0,-0.123047875178,0.215025325914,42,0,43000,48500,41300,42700,11795777,15.88,16.34,15.71,16.05,0.0,0.036174057094032125,-0.023315862569351184,-0.0005387931164825781,0.017720487321363783,0.027366473596087366,0.09651096506029162,0.02627452168315441,0.024245851886602124,0.02901843396174389,0.04510209860069175,0.03647737478233428,-0.305754429123,0.0482753036562,-0.238533305229,0.04996949626,0.0313159718338154
2026-06-02,-0.245874983152,0.0953827874345,50,0,-0.238533305229,0.04996949626,40,0,43300,43300,41100,42550,3434966,16.28,16.29,15.71,15.77,0.0,0.0014906309628797592,-0.023121749102661956,-0.008388629897621028,-0.003519065215195732,0.026737144224639603,0.0313159718338154,0.027366473596087366,0.02627452168315441,0.024245851886602124,0.017720487321363783,-0.0005387931164825781,-0.245874983152,0.0953827874345,-0.203300768956,0.0448649071531,0.01999675064364152
2026-06-08,-0.331234985015,-0.00977650946125,24,0,-0.206915727031,0.0302120127454,63,0,37850,39800,37750,38600,2625755,20.29,20.35,17.94,18.92,0.0,-0.086494279834287,-0.09522140037675428,0.04251989867007792,-0.041857727393787236,0.02585409662720682,0.031758539251752406,0.03293325739590941,0.024309783349198942,0.026737144224639603,-0.04255961441879589,0.0,-0.331234985015,-0.00977650946125,-0.296015157919,-0.0189580462535,0.021341983937469423
2026-06-09,-0.173954150793,-0.0277998472538,55,0,-0.296015157919,-0.0189580462535,31,0,38850,40100,38700,39500,2013579,18.19,23.34,17.52,19.87,0.0,0.07866278703988659,0.06006488038040641,0.17439514537507006,0.02304839543629109,0.027670567918160482,0.021341983937469423,0.02585409662720682,0.03293325739590941,0.024309783349198942,-0.041857727393787236,0.04251989867007792,-0.173954150793,-0.0277998472538,-0.335799631644,-0.0800170259467,0.02669600406694162
2026-06-10,-0.419560044077,-0.135818646634,75,0,-0.335799631644,-0.0800170259467,45,0,38700,39100,37400,38150,2127595,20.1,22.66,20.06,22.22,0.0,-0.04627004030917237,-0.016859483236135127,-0.032077591591677716,-0.03477491417661013,0.02779503633368244,0.02669600406694162,0.027670567918160482,0.02585409662720682,0.03293325739590941,0.02304839543629109,0.17439514537507006,-0.419560044077,-0.135818646634,-0.372399209652,-0.0456481509824,0.05047051927791246
2026-06-11,-0.0404977598318,0.204273002493,22,0,-0.372399209652,-0.0456481509824,51,0,37150,39700,36500,39300,2013343,21.25,22.59,19.36,19.44,0.0,0.004276288126426035,0.046504253081989445,-0.011955735920148884,0.02969876114474964,0.03641064225157415,0.05047051927791246,0.02779503633368244,0.027670567918160482,0.02585409662720682,-0.03477491417661013,-0.032077591591677716,-0.0404977598318,0.204273002493,-0.16652413256,0.0858761358237,0.038945581390000816
2026-06-12,-0.229719156017,0.191303272983,18,0,-0.16652413256,0.0858761358237,38,0,41350,43000,40300,41500,4079208,19.51,19.85,17.59,17.68,0.0,0.04528464232982864,0.03171076865340829,0.02945870715112491,0.05446890836143701,0.042291848402910885,0.038945581390000816,0.03641064225157415,0.02779503633368244,0.027670567918160482,0.02969876114474964,-0.011955735920148884,-0.229719156017,0.191303272983,-0.0917810198438,0.166868913059,0.016794903222292587
2026-06-15,-0.273026643406,0.0531516160617,48,0,-0.0917810198438,0.166868913059,32,0,41600,41700,40550,40750,1908601,16.78,16.85,15.98,16.2,0.0,0.050685129306478435,0.004827742668672616,-0.023178355363575414,-0.0182375875497809,0.0365185087536773,0.016794903222292587,0.042291848402910885,0.03641064225157415,0.02779503633368244,0.05446890836143701,0.02945870715112491,-0.273026643406,0.0531516160617,-0.181378479867,0.0734957210714,0.013941570328033965
