date,kospi_open,kospi_high,kospi_low,kospi_close,kospi_volume,kosdaq_open,kosdaq_high,kosdaq_low,kosdaq_close,kosdaq_volume,vix_open,vix_high,vix_low,vix_close,vix_volume,vkospi_open,vkospi_high,vkospi_low,vkospi_close
2026-02-13,,,,,,,,,,,,,,,,40.65,41.93,40.14,41.57
2026-02-17,,,,,,,,,,,21.74,22.96,19.76,20.29,0,,,,
2026-02-18,,,,,,,,,,,19.78,20.34,18.48,19.62,0,,,,
2026-02-19,5642.09,5681.65,5614.97,5677.25,1.18584e+09,1122.2,1163.66,1111.28,1160.71,1.35178e+09,19.34,21.11,19.23,20.23,0,44.34,45.23,42.39,42.56
2026-02-20,5696.89,5809.91,5684.58,5808.53,1.7493e+09,1161.4,1162.62,1147.72,1154,1.33192e+09,20.04,21.21,18.76,19.09,0,42.5,43.88,41.98,43.87
2026-02-23,5903.11,5931.86,5792.57,5846.09,1.47779e+09,1166.94,1174.66,1143.38,1151.99,1.43382e+09,20.49,22.04,19.5,21.01,0,46.04,46.46,45.22,46.34
2026-02-24,5853.48,5969.64,5775.61,5969.64,1.602e+09,1159.76,1165.32,1146.22,1165,1.33541e+09,21.24,22.08,19.23,19.55,0,47.13,48.3,46.74,48.12
2026-02-25,6022.7,6144.71,5984.28,6083.86,1.41525e+09,1174.27,1174.27,1158.18,1165.25,1.51298e+09,19.59,19.62,17.86,17.93,0,48.6,50.99,48.4,49.57
2026-02-26,6121.03,6313.27,6107.41,6307.27,1.40962e+09,1176.15,1190.85,1161.4,1188.15,1.44949e+09,18.07,20.54,17.5,18.63,0,50.5,55.03,50.34,54.67
2026-02-27,6197.49,6347.41,6153.87,6244.13,1.16606e+09,1175.4,1201.89,1173.16,1192.78,1.26296e+09,19.28,21.74,18.77,19.86,0,54.03,55.13,52.87,54.12
2026-03-02,,,,,,,,,,,24.66,25.24,20.37,21.44,0,,,,
2026-03-03,6165.15,6180.45,5791.65,5791.91,1.22719e+09,1169.82,1215.67,1137.7,1137.7,1.29076e+09,24.57,28.15,22.18,23.57,0,56.82,62.98,55.41,62.98
2026-03-04,5592.59,5672.12,5059.45,5093.54,1.63761e+09,1112.08,1112.08,976.54,978.44,1.45492e+09,24.39,24.87,20.4,21.15,0,65.74,80.85,64.98,80.37
2026-03-05,5250.92,5715.3,5248.13,5583.9,1.66071e+09,1023.84,1149.54,1023.84,1116.41,1.04464e+09,22.11,25.84,20.55,23.75,0,81.99,83.58,73.16,73.71
2026-03-06,5491.02,5609.98,5381.27,5584.87,1.22302e+09,1117.49,1154.67,1092.43,1154.67,1.03323e+09,23.2,29.93,22.92,29.49,0,68,68.03,62.69,62.72
2026-03-09,5265.37,5327.42,5096.16,5251.87,1.02624e+09,1096.48,1113.56,1067.24,1102.28,1.04417e+09,35.12,35.3,24.76,25.5,0,62.29,72.97,62.16,71.82
2026-03-10,5523.21,5595.88,5427.88,5532.59,9.2321e+08,1147.99,1157.2,1123.79,1137.68,9.84763e+08,24.39,26.01,22.19,24.93,0,69.31,70.42,65.47,66.61
2026-03-11,5658.72,5746.36,5559.69,5609.95,1.05095e+09,1155.48,1167.26,1121.45,1136.83,1.30702e+09,24.9,26.23,23.75,24.23,0,62.56,63.53,62.01,63.19
2026-03-12,5567.65,5629.07,5527.47,5583.25,8.01306e+08,1132,1150.65,1128.22,1148.4,1.2686e+09,25.48,27.33,24.6,27.29,0,64.28,65.57,63.93,65.35
2026-03-13,5412.39,5537.59,5392.52,5487.24,9.07656e+08,1122.28,1158.01,1119.74,1152.96,1.34354e+09,27.85,28.47,24.67,27.19,0,66.49,66.75,59.98,60.76
2026-03-16,5510.82,5561.42,5448.75,5549.85,1.07386e+09,1156.5,1157.32,1124.98,1138.29,1.17792e+09,25.88,26.42,23.23,23.51,0,58.32,58.68,54.53,54.67
2026-03-17,5711.8,5717.13,5632.86,5640.48,1.13507e+09,1156.83,1160.12,1136.94,1136.94,1.24452e+09,24.56,24.58,21.87,22.37,0,52.44,53.23,51.14,52.6
2026-03-18,5767.1,5934.35,5766.14,5925.03,1.14377e+09,1156.46,1164.38,1149.88,1164.38,1.29854e+09,21.51,25.13,21.47,25.09,0,50.41,54.2,50.23,54.18
2026-03-19,5761.4,5863.39,5738.95,5763.22,1.18417e+09,1139.12,1153.84,1138.8,1143.48,1.21067e+09,25.6,27.52,23.54,24.06,0,54.54,55.87,53.97,55.47
2026-03-20,5813.35,5833.68,5764.64,5781.2,1.49081e+09,1153.67,1165.96,1144.37,1161.52,1.25134e+09,24.46,29.28,23.68,26.78,0,56.23,56.45,55.28,55.64
2026-03-23,5580.15,5580.15,5397.94,5405.75,1.12562e+09,1129.86,1130.44,1095.56,1096.89,1.05963e+09,30.04,31.04,20.28,26.15,0,58.51,62.88,57.9,62.8
2026-03-24,5638.2,5643,5395.17,5553.92,1.17052e+09,1134.16,1135.71,1094.67,1121.44,1.23735e+09,25.91,27.94,25.64,26.95,0,63.48,66.56,63.48,64.99
2026-03-25,5680.33,5740.97,5630.07,5642.21,7.63224e+08,1133.31,1160.06,1131.77,1159.55,1.13375e+09,25.79,26.67,24.82,25.33,0,61.17,62.47,61.17,61.5
2026-03-26,5594.06,5598.37,5448.12,5460.46,9.25093e+08,1159.61,1169.46,1135.33,1136.64,1.15812e+09,26.49,28.49,26.12,27.44,0,60.89,60.89,59.43,59.85
2026-03-27,5300.61,5462.51,5220.1,5438.87,9.00081e+08,1119.77,1146.07,1101.93,1141.51,1.46327e+09,27.54,31.65,27.54,31.05,0,60.68,62.21,60,60.6
2026-03-30,5181.8,5297.35,5151.22,5277.3,7.27391e+08,1101.77,1113.79,1094.48,1107.05,1.13395e+09,30.79,31.52,29.33,30.61,0,62.98,63.53,61.39,61.43
2026-03-31,5143.75,5233.99,5042.99,5052.46,1.16331e+09,1099.08,1099.08,1049.76,1052.39,1.2285e+09,29.53,29.64,25.08,25.25,0,62.2,62.67,61.08,61.48
2026-04-01,5330.04,5512.33,5272.45,5478.7,9.58953e+08,1090.36,1122.8,1089.31,1116.18,1.05509e+09,24.3,25.35,23.5,24.54,0,60.22,61.87,58.88,61.65
2026-04-02,5551.69,5574.62,5170.27,5234.05,1.42816e+09,1130.16,1132.4,1040.07,1056.34,1.53043e+09,26.78,27.89,23.87,23.87,0,56.8,59.45,56.12,58.91
2026-04-03,5375.5,5419.45,5316.42,5377.3,1.18518e+09,1079.17,1083.24,1054.12,1063.75,9.53913e+08,,,,,,59.28,59.83,58.94,59.1
2026-04-06,5423.35,5505.61,5404.91,5450.33,1.11051e+09,1068.33,1077.04,1044.85,1047.37,1.17673e+09,24.93,25.3,23.78,24.17,0,59.23,59.64,59.12,59.64
