date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-02-19,-0.0216507287487,46,0,0.0863768761482,103,0,188000,190900,187100,190000,27049388,19.3400001526,21.1100006104,19.2299995422,20.2299995422,0
2026-02-20,0.0663024776395,55,0,-0.00951287199678,36,0,190000,190300,188600,190100,24213880,20.0400009155,21.2099990845,18.7600002289,19.0900001526,0
2026-02-23,-0.0726861986082,38,0,0.0328472402114,163,0,194400,197600,190500,193000,26364684,20.4899997711,22.0400009155,19.5,21.0100002289,0
2026-02-24,0.00953143490468,46,0,0.20795560608,32,0,193000,200000,192000,200000,28060617,21.2399997711,22.0799999237,19.2299995422,19.5499992371,0
2026-02-25,-0.0237035064409,46,0,0.0920706530317,61,0,202500,206000,201000,203500,26987996,19.5900001526,19.6200008392,17.8600006104,17.9300003052,0
2026-02-26,0.0556698525964,50,0,0.050189035036,46,0,206500,219000,206000,218000,30095763,18.0699996948,20.5400009155,17.5,18.6299991608,0
2026-02-27,-0.0481396711211,24,0,-0.0128336737293,66,0,210000,223000,210000,216500,51774768,19.2800006866,21.7399997711,18.7700004578,19.8600006104,0
2026-03-03,-0.184244323698,29,0,-0.029444599203,257,0,209500,212500,195100,195100,54879010,24.5699996948,28.1499996185,22.1800003052,23.5699996948,0
2026-03-04,-0.0469705680556,30,0,-0.1402076735,60,0,184200,195900,171900,172200,89427954,24.3899993896,24.8700008392,20.3999996185,21.1499996185,0
2026-03-05,-0.180673697571,36,0,-0.00715014774741,77,0,195000,199700,188100,191600,53959129,22.1100006104,25.8400001526,20.5499992371,23.75,0
2026-03-06,0.061925339674,44,0,0.0750210183524,68,0,186100,189700,181000,188200,29522650,23.2000007629,29.9300003052,22.9200000763,29.4899997711,0
2026-03-09,-0.000982939406611,62,0,-0.0365229089227,249,0,173500,175500,167300,173500,43066020,35.1199989319,35.2999992371,24.7600002289,25.5,0
2026-03-10,0.00502494626205,53,0,0.109512337115,63,0,187600,191500,184300,187900,33530170,24.3899993896,26.0100002289,22.1900005341,24.9300003052,0
2026-03-11,-0.0146823787798,37,0,0.142034881998,57,0,193000,194800,187700,190000,24311356,24.8999996185,26.2299995422,23.75,24.2299995422,0
2026-03-12,-0.0149731424904,38,0,0.103044563898,65,0,186600,190000,185900,187900,20440753,25.4799995422,27.3299999237,24.6000003815,27.2900009155,0
2026-03-13,0.115330425607,42,0,-0.063987594755,56,0,180000,186200,179900,183500,19566331,27.8500003815,28.4699993134,24.6700000763,27.1900005341,0
2026-03-16,0.00314536018777,43,0,-0.0348538395169,151,0,184600,189000,183600,188700,19747901,25.8799991608,26.4200000763,23.2299995422,23.5100002289,0
2026-03-17,-0.0117768898829,68,0,0.184417254461,39,0,198000,198000,193100,193900,20300082,24.5599994659,24.5799999237,21.8700008392,22.3700008392,0
2026-03-18,0.0147735580891,63,0,0.301433237843,45,0,200500,209000,199700,208500,25148481,21.5100002289,25.1299991608,21.4699993134,25.0900001526,0
2026-03-19,0.0141701841804,59,0,0.032753788945,66,0,199900,205000,199600,200500,19884483,25.6000003815,27.5200004578,23.5400009155,24.0599994659,0
2026-03-20,0.181723436135,63,0,0.0226512943836,68,0,202000,202500,199000,199400,35279762,24.4599990845,29.2800006866,23.6800003052,26.7800006866,0
2026-03-23,-0.0309780882475,69,0,-0.0140311838218,167,0,190500,191200,186300,186300,30268173,30.0400009155,31.0400009155,20.2800006866,26.1499996185,0
2026-03-24,0.00763111854738,36,0,0.0634961849629,62,0,195500,196000,185500,189700,25458914,25.9099998474,27.9400005341,25.6399993896,26.9500007629,0
2026-03-25,-0.0756474918278,28,0,0.072651830617,43,0,193700,196400,189000,189000,22995904,25.7900009155,26.6700000763,24.8199996948,25.3299999237,0
2026-03-26,0.040251781845,43,0,-0.0102901075253,51,0,185500,185900,178900,180100,32074131,26.4899997711,28.4899997711,26.1200008392,27.4400005341,0
