date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-02-19,0.0326368236655,26,0,0.110411497767,59,0,905000,913000,888000,894000,3285109,19.3400001526,21.1100006104,19.2299995422,20.2299995422,0
2026-02-20,0.0157433922034,42,0,0.152530931533,46,0,892000,955000,881000,949000,5054333,20.0400009155,21.2099990845,18.7600002289,19.0900001526,0
2026-02-23,-0.0401868962216,36,0,0.0681632451505,139,0,980000,980000,941000,951000,3523887,20.4899997711,22.0400009155,19.5,21.0100002289,0
2026-02-24,0.0269182841361,34,0,0.22337426672,28,0,952000,1005000,946000,1005000,4102382,21.2399997711,22.0799999237,19.2299995422,19.5499992371,0
2026-02-25,0.0370036363032,36,0,0.0328256235482,60,0,1012000,1038000,1004000,1018000,3462525,19.5900001526,19.6200008392,17.8600006104,17.9300003052,0
2026-02-26,-0.06701755179,34,0,0.115583920173,34,0,1024000,1099000,1023000,1099000,4461976,18.0699996948,20.5400009155,17.5,18.6299991608,0
2026-02-27,-0.0785513599284,26,0,-0.0698181266096,43,0,1050000,1096000,1048000,1061000,6453062,19.2800006866,21.7399997711,18.7700004578,19.8600006104,0
2026-03-03,-0.0723379334881,36,0,-0.0305261870831,249,0,1022000,1040000,939000,939000,6818327,24.5699996948,28.1499996185,22.1800003052,23.5699996948,0
2026-03-04,-0.0721637430114,23,0,-0.0738135068284,68,0,894000,954000,846000,849000,9253420,24.3899993896,24.8700008392,20.3999996185,21.1499996185,0
2026-03-05,-0.0518622359156,57,0,0.0356438325482,49,0,976000,992000,927000,941000,6442459,22.1100006104,25.8400001526,20.5499992371,23.75,0
2026-03-06,0.0103133085684,57,0,-0.00248359838717,65,0,912000,938000,885000,924000,3744322,23.2000007629,29.9300003052,22.9200000763,29.4899997711,0
2026-03-09,-0.0706685998055,40,0,-0.054258873315,139,0,851000,864000,808000,836000,7253621,35.1199989319,35.2999992371,24.7600002289,25.5,0
2026-03-10,0.0446164000076,53,0,0.132605198308,53,0,915000,950000,899000,938000,5304897,24.3899993896,26.0100002289,22.1900005341,24.9300003052,0
2026-03-11,-0.0241590828431,50,0,0.198210810727,56,0,954000,985000,941000,955000,3916098,24.8999996185,26.2299995422,23.75,24.2299995422,0
2026-03-12,-0.00538631110288,37,0,-0.0321425073556,38,0,938000,963000,928000,930000,3711742,25.4799995422,27.3299999237,24.6000003815,27.2900009155,0
2026-03-13,-0.113810388798,32,0,0.0482525146028,43,0,891000,929000,884000,910000,3645102,27.8500003815,28.4699993134,24.6700000763,27.1900005341,0
2026-03-16,0.0144795744903,29,0,-0.0169029424037,172,0,925000,975000,924000,974000,3829496,25.8799991608,26.4200000763,23.2299995422,23.5100002289,0
2026-03-17,0.0739806721678,24,0,0.181444974091,33,0,1009000,1010000,969000,970000,3326240,24.5599994659,24.5799999237,21.8700008392,22.3700008392,0
2026-03-18,0.0226424763316,49,0,0.155504067506,55,0,1000000,1060000,999000,1056000,4347884,21.5100002289,25.1299991608,21.4699993134,25.0900001526,0
