date,intraday_sentiment_index,intraday_item_count,intraday_no_posts,overnight_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume,kospi_ret,kosdaq_ret,vkospi_change,log_ret,realized_vol,parkinson_vol,realized_vol_lag1,realized_vol_lag2,realized_vol_lag3,log_ret_lag1,vkospi_change_lag1,sentiment_intraday,sentiment_overnight,target_vol_5d,target_vol_pk
2026-03-05,-0.0738871130452,26,0,-0.0685321617143,22,0,183000.0,206000.0,183000.0,195400.0,1237046.0,22.1100006104,25.8400001526,20.5499992371,23.75,0.0,0.09191438682694518,0.13191399237332288,-0.08650249702342977,0.16547349765752298,0.13354848459627094,0.07110045056596012,0.09109689579040217,0.05314684901292032,0.016188085972295655,-0.18623899437875877,0.24382375655174868,-0.0738871130452,0.131975380853,0.13515343899146315,0.04300207850060151
2026-03-06,-0.0719951726496,1,0,0.131975380853,12,0,194600.0,205500.0,191300.0,202500.0,655517.0,23.2000007629,29.9300003052,22.9200000763,29.4899997711,0.0,0.00017369862615822717,0.03369640886107437,-0.1614580991590449,0.0356911469379114,0.13515343899146315,0.04300207850060151,0.13354848459627094,0.09109689579040217,0.05314684901292032,0.16547349765752298,-0.08650249702342977,-0.0719951726496,-0.0335286747269,0.13479114356343375,0.04540407303601547
2026-03-09,0.0283531784842,19,0,-0.0335286747269,14,0,194800.0,206000.0,191000.0,202500.0,907354.0,35.1199989319,35.2999992371,24.7600002289,25.5,0.0,-0.061476951957463666,-0.04643382692238556,0.13548261275578427,0.0,0.13479114356343375,0.04540407303601547,0.13515343899146315,0.13354848459627094,0.09109689579040217,0.0356911469379114,-0.1614580991590449,0.0283531784842,0.114139704481,0.12578343143400572,0.04482801608171453
2026-03-10,0.0952898972837,8,0,0.114139704481,22,0,215500.0,215500.0,200000.0,203000.0,653625.0,24.3899993896,26.0100002289,22.1900005341,24.9300003052,0.0,0.05207185666196566,0.03161033914074941,-0.07530827237284868,0.0024660924951934683,0.12578343143400572,0.04482801608171453,0.13479114356343375,0.13515343899146315,0.13354848459627094,0.0,0.13548261275578427,0.0952898972837,0.133772610273,0.07617278244259454,0.03432712585692592
2026-03-11,-0.113413016409,28,0,0.133772610273,11,0,205500.0,207000.0,195500.0,197500.0,507330.0,24.8999996185,26.2299995422,23.75,24.2299995422,0.0,0.013885746517995191,-0.0007474137634651992,-0.05270865563972422,-0.027467394700610798,0.07617278244259454,0.03432712585692592,0.12578343143400572,0.13479114356343375,0.13515343899146315,0.0024660924951934683,-0.07530827237284868,-0.113413016409,-0.191918887181,0.022405548844647214,0.0272681098641249
2026-03-12,0.00245896441158,17,0,-0.191918887181,16,0,195000.0,200500.0,191600.0,197700.0,683785.0,25.4799995422,27.3299999237,24.6000003815,27.2900009155,0.0,-0.004770762720468504,0.010125981945933123,0.03361137928486695,0.001012145835394584,0.022405548844647214,0.0272681098641249,0.07617278244259454,0.12578343143400572,0.13479114356343375,-0.027467394700610798,-0.05270865563972422,0.00245896441158,-0.0797158500485,0.01729910914247052,0.020705566155043122
2026-03-13,-0.0475736835942,4,0,-0.0797158500485,15,0,189000.0,191800.0,185300.0,191300.0,747253.0,27.8500003815,28.4699993134,24.6700000763,27.1900005341,0.0,-0.017345647249667098,0.003962879312819403,-0.0728257623426588,-0.032907853730364034,0.01729910914247052,0.020705566155043122,0.022405548844647214,0.07617278244259454,0.12578343143400572,0.001012145835394584,0.03361137928486695,-0.0475736835942,0.073295146976,0.01633759403189454,0.035375177822882506
2026-03-16,-0.0189040041311,21,0,0.073295146976,11,0,189700.0,192300.0,181300.0,187400.0,605477.0,25.8799991608,26.4200000763,23.2299995422,23.5100002289,0.0,0.011345503497299767,-0.012805412297454483,-0.10561656482066413,-0.02059750664188534,0.01633759403189454,0.035375177822882506,0.01729910914247052,0.022405548844647214,0.07617278244259454,-0.032907853730364034,-0.0728257623426588,-0.0189040041311,0.00405679713258,0.026595567816785542,0.026501939279067018
2026-03-17,-0.151335640262,6,0,0.00405679713258,10,0,191300.0,196900.0,188400.0,193500.0,476351.0,24.5599994659,24.5799999237,21.8700008392,22.3700008392,0.0,0.01619826790552394,-0.0011866933526957916,-0.038598993163243764,0.032032142665514685,0.026595567816785542,0.026501939279067018,0.01633759403189454,0.01729910914247052,0.022405548844647214,-0.02059750664188534,-0.10561656482066413,-0.151335640262,0.115165691394,0.026295479562627927,0.010765790032214855
2026-03-18,-9.82717716728e-05,11,0,0.115165691394,9,0,196900.0,197000.0,193500.0,196500.0,324967.0,21.5100002289,25.1299991608,21.4699993134,25.0900001526,0.0,0.049216582027912265,0.023848313586276662,0.029595716913284942,0.015384918839479456,0.026295479562627927,0.010765790032214855,0.026595567816785542,0.01633759403189454,0.01729910914247052,0.032032142665514685,-0.038598993163243764,-9.82717716728e-05,-0.0762248299985,0.030286273109254948,0.02025430779918412
