date,intraday_current_sentiment_index,intraday_future_sentiment_index,intraday_item_count,intraday_no_posts,overnight_current_sentiment_index,overnight_future_sentiment_index,overnight_item_count,overnight_no_posts,open,high,low,close,volume,vix_open,vix_high,vix_low,vix_close,vix_volume
2026-05-14,0.0936169492269,0.356656025469,32,0,0.148520237839,0.273025783629,16,0,282000,299500,282000,296000,39314752,17.86,18.08,17.2,17.26,0
2026-05-15,-0.180709188606,0.137733380125,33,0,-0.0663982291402,0.0414926342578,41,0,291000,296500,266000,270500,38075487,18.07,19.27,17.8,18.43,0
2026-05-18,-0.0729702937062,0.0612077610285,26,0,-0.175852318083,0.0106527914671,161,0,269500,288500,262000,281000,33555214,19.25,19.44,17.7,17.82,0
2026-05-19,-0.147661744542,0.139527159845,28,0,-0.0340068165393,0.0876101110033,61,0,274000,281500,266000,275500,30767569,18.01,18.36,17.66,18.06,0
2026-05-20,-0.197382091605,0.103502647215,42,0,-0.170846026906,0.048963485569,29,0,278000,282500,263500,276000,35662077,18.17,18.18,17.13,17.44,0
2026-05-21,0.0525405410304,0.317070749893,47,0,0.146158311289,0.220564104225,61,0,291000,299500,287000,299500,36168689,17.58,17.87,16.6,16.76,0
2026-05-22,-0.109937099267,0.184220243104,24,0,0.112556082646,0.261325215692,51,0,300000,300500,292000,292500,18395274,16.83,17.39,16.46,16.7,0
2026-05-26,0.0109601164122,0.242133777466,49,0,0.0653245298851,0.216777153204,340,0,298000,302000,297500,299000,23441371,16.92,17.23,16.56,17.01,0
2026-05-27,0.0286273300189,0.190571226981,53,0,0.226626959675,0.316705635302,50,0,321500,323000,306000,307000,33916688,17.01,17.18,16.29,16.29,0
2026-05-28,0.0316015206,0.199211427772,25,0,0.162465019848,0.246229044177,47,0,305000,306500,287500,299500,30195334,16.76,16.85,15.61,15.74,0
2026-05-29,-0.0429136329944,0.276912266785,18,0,0.0931452395805,0.319114016096,42,0,309500,319000,305500,317000,37241537,15.81,15.88,15.22,15.32,0
2026-06-01,-0.0737611228615,0.349453947308,13,0,0.158357234745,0.285409057452,186,0,319500,354500,319500,349000,45052488,15.88,16.34,15.71,16.05,0
2026-06-02,0.0107278095104,0.298961685036,47,0,0.126039325107,0.212936633352,63,0,360500,370000,342000,360500,44720282,16.28,16.29,15.71,15.77,0
2026-06-04,-0.3602977876,0.173821623361,12,0,0.112822974092,0.26265830081,103,0,349000,366000,348000,351500,34771037,16.33,16.8,15.18,15.4,0
2026-06-05,-0.0505091382485,0.230022134227,33,0,-0.128796256612,0.157890228069,40,0,333500,343000,325000,329000,33725012,15.87,21.57,15.56,21.51,0
